campaign,ad_group,ad,country,spend,impressions,clicks,purchases
Sales-Search-1,Группа объявлений 1,learn python/django blog/fast strat python,,0.0,0,0,0.0
App promotion-App-1,Ad group 1,,,0.0,0,0,0.0
Sales-Search-1,Группа объявлений 1,learn python/django blog/fast strat python,,0.0,0,0,0.0
App promotion-App-1,Ad group 1,,,0.0,0,0,0.0
