,Unnamed: 0,data,campaign,ad_group,ad,country,spend,impressions,clicks,purchases,links_clicks,adds_to_cart,ad_network_installs,revenue
0,0,2021-12-15 2021-12-16,Sales-Search-1,Группа объявлений 1,learn python/django blog/fast strat python,,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1,1,2021-12-15 2021-12-16,App promotion-App-1,Ad group 1,,,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2,0,2021-12-15 2021-12-16,Sales-Search-1,Группа объявлений 1,learn python/django blog/fast strat python,,0.0,0,0,0.0,0.0,0.0,0.0,0.0
3,1,2021-12-15 2021-12-16,App promotion-App-1,Ad group 1,,,0.0,0,0,0.0,0.0,0.0,0.0,0.0
